10000000,1026
10000005,404
10000007,16
10000013,1321
10000014,870
10000016,1963
10000019,1914
10000023,949
10000025,8
10000026,1338
10000027,208
10000028,810
10000031,869
10000032,1290
10000033,1541
10000034,1862
10000036,1290
10000037,838
10000038,918
10000039,1338
10000040,1330
10000041,104
10000042,1337
10000043,1188
10000047,1241
10000048,8
10000049,100
10000052,2107
10000054,938
10000055,2245
10000057,1236
10000059,2096
10000060,774
10000061,1690
10000062,1321
10000063,1963
10000064,212
10000066,1190
10000068,1188
10000069,306
10000072,1542
10000075,1638
10000076,1588
10000077,1189
10000078,24
10000079,1189
10000080,1389
10000082,1956
10000084,1184
10000086,1334
10000088,212
10000091,825
10000092,770
10000094,1481
10000095,0
10000096,1234
10000097,790
10000098,1338
10000100,1337
10000103,2202
10000104,1241
10000105,1173
10000107,938
10000108,993
10000111,1290
10000112,1433
10000113,1333
10000115,1168
10000116,424
10000117,1220
10000118,1332
10000121,802
10000122,1703
10000123,1377
10000124,512
10000125,958
10000126,1325
10000127,1194
10000128,324
10000129,934
10000130,1006
10000131,1726
10000132,1770
10000133,1478
10000134,1044
10000135,96
10000136,424
10000137,998
10000138,1290
10000139,2110
10000141,1246
10000143,228
10000144,2298
10000145,950
10000147,1232
10000148,1130
10000150,980
10000151,1282
10000152,0
10000154,416
10000155,1168
10000156,1709
10000158,1899
10000159,834
10000160,1477
10000161,212
10000162,1220
10000163,918
10000164,1332
10000165,1859
10000167,994
10000168,998
10000169,1221
10000170,1529
10000172,520
10000173,2298
10000176,24
10000178,16
10000179,1137
10000180,1723
10000182,989
10000183,1338
10000184,1193
10000187,1093
10000188,1342
10000189,790
10000190,1133
10000191,1230
10000192,866
10000193,1006
10000194,2196
10000197,308
10000198,1282
10000200,2103
10000203,1329
10000205,1193
10000206,938
10000208,2005
10000209,2148
10000210,994
10000211,420
10000212,418
10000214,0
10000215,426
10000216,1626
10000217,1563
10000218,1851
10000220,4
10000221,208
10000224,1188
10000227,1185
10000228,1234
10000229,1638
10000230,1190
10000236,934
10000239,1145
10000240,1524
10000242,1125
10000243,28
10000245,1242
10000246,1150
10000248,1269
10000250,918
10000252,858
10000253,1330
10000254,24
10000255,24
10000256,1077
10000259,2005
10000261,2098
10000262,4
10000263,1793
10000264,1332
10000265,902
10000266,36
10000269,886
10000271,1333
10000275,1333
10000277,842
10000278,1314
10000281,1575
10000282,1330
10000283,826
10000284,1338
10000287,2149
10000288,20
10000293,1221
10000294,1146
10000295,1170
10000299,1122
10000305,1337
10000306,1530
10000307,1533
10000308,1332
10000310,520
10000311,1146
10000314,1432
10000316,472
10000318,232
10000320,1121
10000321,1341
10000324,20
10000330,1190
10000331,1234
10000332,794
10000334,128
10000335,1074
10000336,1002
10000337,1332
10000338,1282
10000339,1225
10000344,1336
10000345,1386
10000346,1529
10000347,1138
10000348,1338
10000349,1244
10000350,778
10000351,918
10000353,1186
10000354,1524
10000355,1289
10000357,1001
10000359,2011
10000360,328
10000361,1433
10000362,20
10000363,1238
10000365,1292
10000367,1290
10000368,1338
10000369,1232
10000371,1122
10000374,1312
10000375,774
10000376,220
10000377,1186
10000378,1588
10000379,898
10000381,1289
10000383,1341
10000385,1130
10000386,992
10000388,1188
10000389,1050
10000391,1963
10000392,1188
10000393,2052
10000394,1241
10000395,2008
10000396,1169
10000397,1333
10000398,1002
10000400,520
10000401,1706
10000402,818
10000403,934
10000404,1328
10000405,1238
10000406,1952
